wall,utime,stime,maxrss,benchmark,mode
0.542917,0.008782,0.008782,25160.0,mt9,docker
15.857296,15.856553,0.0,13372.0,nb10,qemu
1.065063,1.064916,0.0,2424.0,nb9,native
0.196009,0.191882,0.003997,14476.0,sn200,wali
0.992156,0.991933,0.0,2424.0,nb8,native
0.310142,0.306259,0.003977,13160.0,sn100,qemu
0.40634,0.402342,0.004023,14040.0,bt11,qemu
0.726917,0.714793,0.011979,10604.0,bt14,docker-inner
2.367388,2.359492,0.007984,16396.0,mt12,qemu
0.67769,0.016992,0.0,25716.0,sn200,docker
1.987733,0.011657,0.005828,25484.0,bt15,docker
2.463155,2.463036,0.0,2460.0,sn1000,native
0.28156,0.281389,0.0,6312.0,bt13,docker-inner
0.181766,0.18161,0.0,2556.0,sn200,docker-inner
1.099798,1.099619,0.0,2568.0,sn500,docker-inner
0.207466,0.20732,0.0,2476.0,nb1,docker-inner
0.32794,0.327762,0.0,6284.0,mt12,docker-inner
1.196554,0.008838,0.008838,25740.0,mt13,docker
2.185645,2.173472,0.011986,14564.0,nb9,wali
0.021157,0.021086,0.0,2868.0,mt9,native
0.236428,0.2363,0.0,2440.0,nb2,native
0.504546,0.01297,0.004323,25400.0,sn100,docker
0.055057,0.05493,0.0,3136.0,mt10,native
0.826497,0.826362,0.0,2484.0,nb4,docker-inner
0.252262,0.240089,0.012004,14900.0,bt12,wali
6.364125,6.36021,0.004,13112.0,nb4,qemu
0.74157,0.733128,0.008012,14652.0,sn400,wali
0.111798,0.111652,0.0,3940.0,mt11,native
0.053362,0.049125,0.004093,14624.0,sn100,wali
1.711943,1.703804,0.007999,14652.0,nb7,wali
0.266165,0.261982,0.00403,14524.0,nb1,wali
1.170245,1.153917,0.016026,18996.0,mt13,wali
0.244932,0.232713,0.012036,14528.0,mt11,wali
0.672129,0.672019,0.0,2504.0,sn500,native
0.024584,0.020354,0.00407,14500.0,bt9,wali
2.038984,0.011332,0.005666,25588.0,nb7,docker
2.184286,0.011529,0.005764,25160.0,mt14,docker
4.038972,0.004225,0.012676,25256.0,sn900,docker
0.497431,0.469196,0.028071,15988.0,bt13,wali
0.025288,0.025159,0.0,3044.0,mt9,docker-inner
3.310205,0.0,0.017426,26024.0,sn800,docker
1.081082,1.072946,0.007977,18136.0,bt15,native
2.826052,2.805909,0.020013,36336.0,bt16,native
9.162576,9.162585,0.0,13352.0,nb6,qemu
0.099872,0.099751,0.0,2472.0,sn200,native
12.423605,12.423564,0.0,13208.0,nb8,qemu
0.025419,0.025312,0.0,2416.0,sn100,native
0.065655,0.065532,0.0,3472.0,mt10,docker-inner
2.257913,2.253505,0.004002,14584.0,sn700,wali
0.053355,0.049459,0.003804,14504.0,mt9,wali
4.765751,4.761353,0.004001,14660.0,sn1000,wali
0.397738,0.397604,0.0,2580.0,sn300,docker-inner
0.045122,0.045037,0.0,2548.0,sn100,docker-inner
0.756681,0.00563,0.01126,25704.0,bt13,docker
3.63446,3.618005,0.015991,37440.0,bt16,docker-inner
0.738092,0.737962,0.0,2464.0,nb6,native
1.669712,1.665221,0.003993,2560.0,nb8,docker-inner
0.02267,0.022607,0.0,2976.0,bt10,native
0.057685,0.057562,0.0,3544.0,bt11,docker-inner
0.42031,0.412153,0.008002,14680.0,sn300,wali
4.644756,4.64066,0.004,19660.0,mt13,qemu
0.030623,0.022868,0.007622,14520.0,mt8,wali
0.685458,0.008619,0.008619,25016.0,bt12,docker
2.643549,0.011863,0.005931,25236.0,sn700,docker
10.799933,10.800032,0.0,13224.0,nb7,qemu
3.753678,3.749525,0.004001,14504.0,sn900,wali
1.208878,1.204803,0.003989,2512.0,nb6,docker-inner
25.127002,25.124621,0.0,13064.0,sn1000,qemu
3.561364,3.56122,0.0,2576.0,sn900,docker-inner
1.231021,1.226848,0.003996,14504.0,nb5,wali
1.253688,0.016981,0.0,25120.0,sn400,docker
0.977103,0.005855,0.011711,25780.0,nb2,docker
0.149617,0.145403,0.004038,4756.0,bt12,docker-inner
0.705203,0.704998,0.0,2584.0,sn400,docker-inner
2.618572,0.013694,0.003912,25384.0,nb10,docker
0.879766,0.014847,0.002474,25952.0,sn300,docker
0.484774,0.484641,0.0,2472.0,nb4,native
0.56783,0.011529,0.005764,25232.0,bt11,docker
